sid,stu_name,gender,age,major,password
811370108,Isla,female,28,Business Management,
811732313,Madelyn,female,22,Business Management,
811757150,Elizabeth,female,23,Business Management,
811169940,Ayden,male,21,Business Management,
811051628,Ainsley,female,28,Business Management,
811516616,Muhammad,male,25,Business Management,
811815209,Dylan,male,20,Business Management,
811724749,Damian,male,27,Business Management,
811319232,Angelina,female,29,Business Management,
811664151,Hallie,female,21,Business Management,
